i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
2101010003041901,2010-11,Mainland Rural,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
21010100030483,2008-09,Mainland Rural,2,0,2,2,0,0,2,0,2,2,0,0,2,2,2.772588722
2101010003048301,2010-11,Mainland Rural,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3.295836866
21010140020069,2008-09,Mainland Rural,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1.945910149
2101014002006901,2010-11,Mainland Rural,1,0,0,1,2,0,0,1,0,0,1,1,0,0,1.945910149
21010140020109,2008-09,Mainland Rural,1,0,0,3,0,0,0,0,0,1,1,0,0,0,1.791759469
2101014002010901,2010-11,Mainland Rural,0,4,2,4,0,2,0,0,0,0,2,2,0,0,2.772588722
21010140020127,2008-09,Mainland Rural,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1.386294361
2101014002012701,2010-11,Mainland Rural,0,0,0,0,2,0,0,0,6,0,0,0,0,2,2.302585093
21010140020332,2008-09,Mainland Rural,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1.791759469
2101014002033201,2010-11,Mainland Rural,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1.791759469
21010140020340,2008-09,Mainland Rural,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1.609437912
2101014002034001,2010-11,Mainland Rural,0,0,0,2,2,0,4,0,0,2,0,2,0,0,2.48490665
21010140020347,2008-09,Mainland Rural,0,4,2,0,2,0,0,2,4,4,0,2,0,0,2.995732274
2101014002034701,2010-11,Mainland Rural,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1.609437912
2101014002034706,2010-11,Mainland Rural,2,4,2,2,0,0,0,0,2,2,0,0,0,0,2.63905733
21010140020454,2008-09,Mainland Rural,0,0,0,0,4,4,0,8,4,4,0,0,4,4,3.465735903
2101014002045401,2010-11,Mainland Rural,0,0,0,0,2,0,0,4,2,0,0,0,2,2,2.48490665
2101014002045404,2010-11,Mainland Rural,0,0,2,2,0,4,2,2,4,2,0,2,2,2,3.17805383
21010140020559,2008-09,Mainland Rural,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1.791759469
2101014002055901,2010-11,Mainland Rural,4,0,2,2,0,2,0,0,0,0,2,2,0,0,2.63905733
2102-001,2012-13,Mainland Rural,2,0,2,2,0,0,0,0,0,2,2,0,0,0,2.302585093
2102-001,2014-15,Mainland Rural,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
21020090010211,2008-09,Mainland Rural,1,2,2,0,0,1,0,0,0,1,1,0,0,1,2.197224577
2102009001021101,2010-11,Mainland Rural,0,4,4,2,2,2,0,0,0,2,2,0,0,2,2.995732274
