i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
6663-001,2014-15,Mainland Other Urban,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
6664-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.098612289
6665-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6666-001,2014-15,Mainland Other Urban,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361
6667-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6668-001,2014-15,Mainland Other Urban,0,1,1,0,0,2,0,1,0,0,1,1,0,0,1.945910149
6669-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6681-001,2014-15,Mainland Rural,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1.098612289
6682-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6683-001,2014-15,Mainland Rural,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
6684-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1.791759469
6685-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6686-001,2014-15,Mainland Rural,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1.609437912
6687-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6688-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289
6700-001,2014-15,Mainland Rural,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1.609437912
6701-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
6702-001,2014-15,Mainland Rural,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
6703-001,2014-15,Mainland Rural,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1.386294361
6704-001,2014-15,Mainland Rural,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1.945910149
6705-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1.386294361
6706-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
6707-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1.098612289
6719-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6720-001,2014-15,Mainland Rural,0,0,2,0,1,0,0,1,1,1,0,1,1,0,2.079441542
6721-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1.386294361
6722-001,2014-15,Mainland Rural,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912
6723-001,2014-15,Mainland Rural,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1.386294361
6724-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1.386294361
6725-001,2014-15,Mainland Rural,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1.945910149
6726-001,2014-15,Mainland Rural,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1.386294361
6738-001,2014-15,Mainland Rural,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.386294361
6739-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
6740-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.098612289
6741-001,2014-15,Mainland Rural,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1.609437912
6742-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
6743-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
6744-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1.609437912
6745-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361
6757-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289
6758-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6759-001,2014-15,Mainland Other Urban,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1.791759469
6760-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
6761-001,2014-15,Mainland Other Urban,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.098612289
6762-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
6763-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6764-001,2014-15,Mainland Other Urban,0,0,0,1,0,1,2,1,1,0,0,1,1,0,2.079441542
6776-001,2014-15,Mainland Other Urban,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
6777-001,2014-15,Mainland Other Urban,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1.386294361
6778-001,2014-15,Mainland Other Urban,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1.945910149
6779-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
6780-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6781-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
6782-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
6783-001,2014-15,Mainland Other Urban,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.098612289
6795-001,2014-15,Mainland Rural,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
6796-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
6797-001,2014-15,Mainland Rural,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
6798-001,2014-15,Mainland Rural,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1.609437912
6799-001,2014-15,Mainland Rural,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1.609437912
6800-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6801-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
6802-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1.386294361
6815-001,2014-15,Zanzibar,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1.386294361
6816-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289
6817-001,2014-15,Zanzibar,0,1,0,1,2,0,0,0,0,0,1,1,0,0,1.791759469
6818-001,2014-15,Zanzibar,0,0,0,0,0,1,0,0,3,1,0,0,1,1,1.945910149
6819-001,2014-15,Zanzibar,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.098612289
6820-001,2014-15,Zanzibar,0,0,0,0,0,1,0,1,1,2,0,0,0,1,1.791759469
6821-001,2014-15,Zanzibar,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1.609437912
6823-001,2014-15,Zanzibar,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1.386294361
6833-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
6834-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
6835-001,2014-15,Zanzibar,0,1,1,1,1,1,0,1,0,1,0,1,1,0,2.197224577
6836-001,2014-15,Zanzibar,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1.945910149
6837-001,2014-15,Zanzibar,1,0,1,2,1,0,0,0,0,1,0,0,0,0,1.791759469
6838-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
6840-001,2014-15,Zanzibar,0,1,0,2,1,0,1,1,0,1,1,1,0,0,2.197224577
6841-001,2014-15,Zanzibar,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6931471806
6852-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6853-001,2014-15,Zanzibar,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.098612289
6854-001,2014-15,Zanzibar,1,0,2,1,1,0,1,1,1,0,1,1,0,0,2.302585093
6855-001,2014-15,Zanzibar,1,0,1,2,1,1,1,1,1,0,0,1,1,0,2.397895273
6856-001,2014-15,Zanzibar,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1.609437912
6857-001,2014-15,Zanzibar,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806
6858-001,2014-15,Zanzibar,0,2,0,1,2,0,0,0,0,1,1,0,0,0,1.945910149
6859-001,2014-15,Zanzibar,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
6871-001,2014-15,Zanzibar,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1.386294361
6872-001,2014-15,Zanzibar,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1.609437912
6873-001,2014-15,Zanzibar,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1.609437912
6874-001,2014-15,Zanzibar,1,0,2,0,1,1,1,0,0,1,1,1,0,0,2.197224577
6875-001,2014-15,Zanzibar,0,2,0,1,0,0,0,1,0,1,0,0,0,1,1.791759469
6876-001,2014-15,Zanzibar,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.098612289
6877-001,2014-15,Zanzibar,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1.945910149
6878-001,2014-15,Zanzibar,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
6888-001,2014-15,Mainland Rural,0,1,1,0,2,0,2,0,1,0,1,1,0,0,2.197224577
6890-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6891-001,2014-15,Zanzibar,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.386294361
6892-001,2014-15,Zanzibar,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.098612289
6893-001,2014-15,Zanzibar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6894-001,2014-15,Zanzibar,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1.609437912
6895-001,2014-15,Zanzibar,0,0,0,1,1,1,0,0,4,0,1,1,0,0,2.197224577
6897-001,2014-15,Zanzibar,0,0,3,0,0,2,0,1,0,0,0,1,1,0,2.079441542
6899-001,2014-15,Zanzibar,0,0,2,0,1,0,1,1,1,0,0,0,1,1,2.079441542
6909-001,2014-15,Mainland Rural,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1.791759469
6910-001,2014-15,Mainland Rural,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1.386294361
6911-001,2014-15,Mainland Rural,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1.791759469
6913-001,2014-15,Mainland Rural,0,0,1,2,2,0,1,0,0,0,1,1,0,0,2.079441542
6914-001,2014-15,Mainland Rural,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289
6915-001,2014-15,Mainland Rural,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1.609437912
6916-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6919-001,2014-15,Mainland Rural,0,1,0,0,1,2,0,0,0,0,1,1,0,0,1.791759469
6928-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6929-001,2014-15,Mainland Rural,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1.386294361
6930-001,2014-15,Mainland Rural,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1.386294361
6931-001,2014-15,Mainland Rural,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1.609437912
6932-001,2014-15,Mainland Rural,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1.791759469
6933-001,2014-15,Mainland Rural,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912
6934-001,2014-15,Mainland Rural,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1.098612289
6935-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
6947-001,2014-15,Mainland Rural,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
6948-001,2014-15,Mainland Rural,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1.609437912
6949-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
6950-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
6951-001,2014-15,Mainland Rural,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
6952-001,2014-15,Mainland Rural,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.098612289
6953-001,2014-15,Mainland Rural,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1.609437912
6954-001,2014-15,Mainland Rural,1,0,1,0,0,0,1,1,2,0,0,1,1,0,2.079441542
6966-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1.386294361
6967-001,2014-15,Mainland Rural,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1.609437912
6968-001,2014-15,Mainland Rural,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1.609437912
6969-001,2014-15,Mainland Rural,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1.609437912
6970-001,2014-15,Mainland Rural,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.098612289
6971-001,2014-15,Mainland Rural,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289
6972-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
6973-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1.098612289
6986-001,2014-15,Mainland Rural,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1.386294361
6987-001,2014-15,Mainland Rural,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.098612289
6988-001,2014-15,Mainland Rural,1,0,0,1,0,1,0,0,0,2,0,1,0,0,1.791759469
6989-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
6990-001,2014-15,Mainland Rural,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.386294361
6991-001,2014-15,Mainland Rural,0,0,1,0,0,1,2,0,1,0,0,0,1,1,1.945910149
6992-001,2014-15,Mainland Rural,0,0,1,1,1,0,0,0,0,0,2,1,0,0,1.791759469
6994-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.098612289
7004-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7005-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
7007-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
7008-001,2014-15,Mainland Other Urban,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1.791759469
7009-001,2014-15,Mainland Other Urban,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1.945910149
7010-001,2014-15,Mainland Other Urban,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
7011-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1.609437912
7012-001,2014-15,Mainland Other Urban,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1.386294361
7023-001,2014-15,Mainland Rural,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1.791759469
7024-001,2014-15,Mainland Rural,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
7025-001,2014-15,Mainland Rural,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1.791759469
7026-001,2014-15,Mainland Rural,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
7027-001,2014-15,Mainland Rural,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1.791759469
7028-001,2014-15,Mainland Rural,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1.791759469
7029-001,2014-15,Mainland Rural,0,1,0,2,1,0,0,0,0,1,0,0,1,0,1.791759469
7030-001,2014-15,Mainland Rural,0,0,0,1,2,1,1,0,1,0,1,1,0,0,2.079441542
7042-001,2014-15,Mainland Rural,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1.945910149
7043-001,2014-15,Mainland Rural,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1.945910149
7044-001,2014-15,Mainland Rural,1,2,1,1,1,1,0,0,0,1,1,0,0,0,2.197224577
7045-001,2014-15,Mainland Rural,2,1,0,1,1,1,1,1,1,1,0,0,1,1,2.48490665
7046-001,2014-15,Mainland Rural,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1.945910149
7047-001,2014-15,Mainland Rural,0,0,0,2,1,1,1,0,0,0,1,1,0,0,1.945910149
7048-001,2014-15,Mainland Rural,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1.386294361
7049-001,2014-15,Mainland Rural,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1.609437912
7061-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7062-001,2014-15,Mainland Rural,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1.386294361
7063-001,2014-15,Mainland Rural,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
7064-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7065-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7066-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
7067-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1.098612289
7068-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7080-001,2014-15,Mainland Other Urban,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806
7081-001,2014-15,Mainland Other Urban,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
7082-001,2014-15,Mainland Other Urban,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912
7083-001,2014-15,Mainland Other Urban,0,0,0,1,0,1,1,0,2,1,0,0,1,0,1.945910149
7084-001,2014-15,Mainland Other Urban,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7085-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1.098612289
7086-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806
7087-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1.098612289
7099-001,2014-15,Mainland Rural,0,0,0,1,1,2,2,0,1,0,0,1,0,0,2.079441542
7100-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806
7102-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1.386294361
7103-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7105-001,2014-15,Mainland Rural,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1.791759469
7106-001,2014-15,Mainland Rural,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1.945910149
7108-001,2014-15,Mainland Rural,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1.386294361
7110-001,2014-15,Mainland Rural,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1.791759469
7118-001,2014-15,Mainland Rural,0,2,0,3,0,1,0,0,0,0,1,1,0,1,2.197224577
7119-001,2014-15,Mainland Rural,0,0,3,0,1,1,1,0,0,0,0,1,1,0,2.079441542
7120-001,2014-15,Mainland Rural,0,1,1,0,0,2,1,1,3,0,1,1,0,0,2.397895273
7121-001,2014-15,Mainland Rural,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1.609437912
7122-001,2014-15,Mainland Rural,0,3,2,1,3,2,0,1,2,1,1,1,0,0,2.833213344
7123-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
7124-001,2014-15,Mainland Rural,0,1,3,0,0,2,0,0,0,0,1,1,0,0,2.079441542
7125-001,2014-15,Mainland Rural,1,0,1,2,0,0,0,0,1,1,1,0,1,1,2.197224577
7137-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7139-001,2014-15,Mainland Other Urban,0,0,0,1,2,1,0,2,0,0,0,1,0,0,1.945910149
7140-001,2014-15,Mainland Other Urban,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
7141-001,2014-15,Mainland Other Urban,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1.098612289
7142-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
7143-001,2014-15,Mainland Other Urban,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1.945910149
7144-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7147-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7156-001,2014-15,Mainland Rural,0,1,2,0,0,0,2,0,1,1,0,1,1,0,2.197224577
7157-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
7158-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
7159-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.098612289
7161-001,2014-15,Mainland Rural,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2.079441542
7162-001,2014-15,Mainland Rural,0,0,1,0,0,3,1,0,0,0,0,0,1,1,1.945910149
7163-001,2014-15,Mainland Rural,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.386294361
7166-001,2014-15,Mainland Rural,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
7175-001,2014-15,Mainland Rural,0,1,1,0,1,0,0,2,0,0,1,1,0,0,1.945910149
7177-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7178-001,2014-15,Mainland Rural,0,0,0,0,2,0,2,0,0,0,1,1,0,0,1.791759469
7179-001,2014-15,Mainland Rural,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1.386294361
7180-001,2014-15,Mainland Rural,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1.098612289
7182-001,2014-15,Mainland Rural,0,1,1,2,1,0,0,0,0,0,0,2,0,0,1.945910149
7185-001,2014-15,Mainland Rural,0,2,0,1,0,0,0,1,0,1,0,1,0,0,1.791759469
7186-001,2014-15,Mainland Rural,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
7194-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7195-001,2014-15,Mainland Rural,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1.791759469
7196-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
7197-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7198-001,2014-15,Mainland Rural,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1.609437912
7199-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
7200-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
7201-001,2014-15,Mainland Rural,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1.098612289
7213-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7214-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7215-001,2014-15,Mainland Rural,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.098612289
7216-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7217-001,2014-15,Mainland Rural,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1.609437912
7218-001,2014-15,Mainland Rural,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1.386294361
7219-001,2014-15,Mainland Rural,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.098612289
7220-001,2014-15,Mainland Rural,0,1,1,0,2,1,1,0,0,0,0,0,0,1,1.945910149
7232-001,2014-15,Mainland Rural,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1.791759469
7233-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.098612289
7234-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7235-001,2014-15,Mainland Rural,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.386294361
7236-001,2014-15,Mainland Rural,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1.609437912
7237-001,2014-15,Mainland Rural,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1.609437912
7238-001,2014-15,Mainland Rural,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1.609437912
7239-001,2014-15,Mainland Rural,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1.791759469
7251-001,2014-15,Mainland Rural,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1.386294361
7252-001,2014-15,Mainland Rural,0,0,1,3,2,0,2,1,6,2,1,1,0,1,2.995732274
7253-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1.386294361
7254-001,2014-15,Mainland Rural,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1.609437912
7255-001,2014-15,Mainland Rural,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1.609437912
7256-001,2014-15,Mainland Rural,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
7257-001,2014-15,Mainland Rural,0,0,2,1,0,0,0,1,0,1,0,0,1,1,1.945910149
7258-001,2014-15,Mainland Rural,0,0,1,0,1,0,2,0,0,0,1,1,0,0,1.791759469
7270-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7271-001,2014-15,Mainland Rural,0,0,0,1,2,0,2,0,0,0,0,1,0,0,1.791759469
7272-001,2014-15,Mainland Rural,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1.945910149
7273-001,2014-15,Mainland Rural,0,1,1,0,2,0,0,1,0,0,1,1,0,0,1.945910149
7274-001,2014-15,Mainland Rural,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1.791759469
7275-001,2014-15,Mainland Rural,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1.791759469
7276-001,2014-15,Mainland Rural,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1.609437912
7277-001,2014-15,Mainland Rural,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1.791759469
7289-001,2014-15,Mainland Other Urban,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1.386294361
7290-001,2014-15,Mainland Other Urban,0,1,0,0,2,0,1,0,1,0,1,1,0,0,1.945910149
7291-001,2014-15,Mainland Other Urban,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6931471806
