i,t,m,j,Expenditure
5947-001-01,2020-21,Mainland Rural,"Macaroni, Spaghetti",1300
5947-001-01,2020-21,Mainland Rural,Maize (flour),1000
5947-001-01,2020-21,Mainland Rural,Other Fruits,588.7096774
5947-001-01,2020-21,Mainland Rural,Rice (husked),700
5947-001-01,2020-21,Mainland Rural,Salt,150
5947-001-01,2020-21,Mainland Rural,Sugar,700
5947-001-01,2020-21,Mainland Rural,Sweet Potatoes,494.921875
5947-001-01,2020-21,Mainland Rural,Vegetables (fresh),577.3890675
5966-001-01,2020-21,Mainland Rural,Beef,3000
5966-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",2000
5966-001-01,2020-21,Mainland Rural,Citrus Fruits,749.1050584
5966-001-01,2020-21,Mainland Rural,Cooking Oil,2500
5966-001-01,2020-21,Mainland Rural,Eggs,1800
5966-001-01,2020-21,Mainland Rural,Fish (dried),2311.111111
5966-001-01,2020-21,Mainland Rural,Irish Potatoes,2000
5966-001-01,2020-21,Mainland Rural,Leafy Greens,961.2817089
5966-001-01,2020-21,Mainland Rural,Local Brews,1000
5966-001-01,2020-21,Mainland Rural,Maize (flour),6000
5966-001-01,2020-21,Mainland Rural,"Maize (green, cob)",1111.111111
5966-001-01,2020-21,Mainland Rural,Other Fruits,1088.709677
5966-001-01,2020-21,Mainland Rural,Pulses,2000
5966-001-01,2020-21,Mainland Rural,Rice (husked),2800
5966-001-01,2020-21,Mainland Rural,Ripe Bananas,5000
5966-001-01,2020-21,Mainland Rural,Salt,200
5966-001-01,2020-21,Mainland Rural,Sugar,2800
5966-001-01,2020-21,Mainland Rural,Tea (dry),200
5966-001-01,2020-21,Mainland Rural,Vegetables (fresh),2826.800643
6016-001-02,2020-21,Mainland Other Urban,Beef,7000
6016-001-02,2020-21,Mainland Other Urban,Bread,1750.291715
6016-001-02,2020-21,Mainland Other Urban,Citrus Fruits,2648.116438
6016-001-02,2020-21,Mainland Other Urban,Coconuts,2223.333333
6016-001-02,2020-21,Mainland Other Urban,Cooking Oil,5000
6016-001-02,2020-21,Mainland Other Urban,Dairy Products,1050
6016-001-02,2020-21,Mainland Other Urban,Eggs,1600
6016-001-02,2020-21,Mainland Other Urban,Fish (dried),2227.941176
6016-001-02,2020-21,Mainland Other Urban,Groundnuts,357.1428571
6016-001-02,2020-21,Mainland Other Urban,"Honey, Syrups, etc.",6125
6016-001-02,2020-21,Mainland Other Urban,Irish Potatoes,2000
6016-001-02,2020-21,Mainland Other Urban,Leafy Greens,2480.845719
6016-001-02,2020-21,Mainland Other Urban,"Macaroni, Spaghetti",3333.333333
6016-001-02,2020-21,Mainland Other Urban,Maize (flour),500
6016-001-02,2020-21,Mainland Other Urban,"Maize (green, cob)",2666.666667
6016-001-02,2020-21,Mainland Other Urban,Other Fruits,2074.187884
6016-001-02,2020-21,Mainland Other Urban,Pulses,1000
6016-001-02,2020-21,Mainland Other Urban,Rice (husked),6000
6016-001-02,2020-21,Mainland Other Urban,Ripe Bananas,2500
6016-001-02,2020-21,Mainland Other Urban,Salt,250
6016-001-02,2020-21,Mainland Other Urban,Sugar,2800
6016-001-02,2020-21,Mainland Other Urban,Sugarcane,1000
6016-001-02,2020-21,Mainland Other Urban,Tea (dry),310
6016-001-02,2020-21,Mainland Other Urban,Vegetables (fresh),5617.034314
6016-001-02,2020-21,Mainland Other Urban,Wheat Flour,1400
6016-001-02,2020-21,Mainland Other Urban,Yams/Cocoyams,984.6153846
6040-001-01,2020-21,Mainland Rural,Cassava Fresh,1000
6040-001-01,2020-21,Mainland Rural,Cooking Oil,2500
6040-001-01,2020-21,Mainland Rural,Leafy Greens,602.4032043
6040-001-01,2020-21,Mainland Rural,Maize (flour),10000
6040-001-01,2020-21,Mainland Rural,Other Fruits,500
6040-001-01,2020-21,Mainland Rural,Salt,200
6040-001-01,2020-21,Mainland Rural,Sugar,1400
6040-001-01,2020-21,Mainland Rural,Vegetables (fresh),1202.893891
6061-001-02,2020-21,Mainland Other Urban,Beef,3500
6061-001-02,2020-21,Mainland Other Urban,Bread,1983.663944
6061-001-02,2020-21,Mainland Other Urban,Citrus Fruits,4900
6061-001-02,2020-21,Mainland Other Urban,Coconuts,800
6061-001-02,2020-21,Mainland Other Urban,Eggs,3200
6061-001-02,2020-21,Mainland Other Urban,Groundnuts,428.5714286
6061-001-02,2020-21,Mainland Other Urban,Irish Potatoes,3000
6061-001-02,2020-21,Mainland Other Urban,Leafy Greens,177.2032656
6061-001-02,2020-21,Mainland Other Urban,"Macaroni, Spaghetti",1500
6061-001-02,2020-21,Mainland Other Urban,Maize (flour),3000
6061-001-02,2020-21,Mainland Other Urban,"Maize (green, cob)",1000
6061-001-02,2020-21,Mainland Other Urban,Milk (fresh),1400
6061-001-02,2020-21,Mainland Other Urban,Other Fruits,2000
6061-001-02,2020-21,Mainland Other Urban,Pork,3000
6061-001-02,2020-21,Mainland Other Urban,Rice (husked),1500
6061-001-02,2020-21,Mainland Other Urban,Ripe Bananas,2000
6061-001-02,2020-21,Mainland Other Urban,Salt,62
6061-001-02,2020-21,Mainland Other Urban,Soft drinks,2000
6061-001-02,2020-21,Mainland Other Urban,Sugar,2800
6061-001-02,2020-21,Mainland Other Urban,Sweet Potatoes,1470.493041
6061-001-02,2020-21,Mainland Other Urban,Tea (dry),500
6061-001-02,2020-21,Mainland Other Urban,Vegetables (fresh),5049.019608
6061-001-02,2020-21,Mainland Other Urban,Wheat Flour,1400
6095-001-01,2020-21,Mainland Rural,Cooking Oil,2500
6095-001-01,2020-21,Mainland Rural,Fish (dried),10111.11111
6095-001-01,2020-21,Mainland Rural,Maize (flour),7000
6095-001-01,2020-21,Mainland Rural,Milk (fresh),7000
6095-001-01,2020-21,Mainland Rural,Other Fruits,1774.193548
6095-001-01,2020-21,Mainland Rural,Plantains,6918.819188
6095-001-01,2020-21,Mainland Rural,Rice (husked),8400
6095-001-01,2020-21,Mainland Rural,Salt,300
6095-001-01,2020-21,Mainland Rural,Sugar,2800
6095-001-01,2020-21,Mainland Rural,Tea (dry),500
6095-001-01,2020-21,Mainland Rural,Vegetables (fresh),3007.234727
6095-001-01,2020-21,Mainland Rural,Vegetables (preserved),5833.333333
6111-001-02,2020-21,Mainland Rural,Cooking Oil,875
6111-001-02,2020-21,Mainland Rural,Fish (dried),2426.666667
6111-001-02,2020-21,Mainland Rural,Leafy Greens,1001.335113
6111-001-02,2020-21,Mainland Rural,Plantains,14944.64945
6111-001-02,2020-21,Mainland Rural,Rice (husked),1400
6111-001-02,2020-21,Mainland Rural,Ripe Bananas,1000
6111-001-02,2020-21,Mainland Rural,Salt,100
6111-001-02,2020-21,Mainland Rural,Sweet Potatoes,795.6638756
6111-001-02,2020-21,Mainland Rural,Tea (dry),160
6111-001-02,2020-21,Mainland Rural,Vegetables (fresh),1202.893891
6134-001-01,2020-21,Mainland Rural,Cooking Oil,1250
6134-001-01,2020-21,Mainland Rural,Fish (fresh),3708.333333
6134-001-01,2020-21,Mainland Rural,Maize (flour),5250
6134-001-01,2020-21,Mainland Rural,Plantains,3000
6134-001-01,2020-21,Mainland Rural,Pulses,1500
6134-001-01,2020-21,Mainland Rural,Salt,200
6134-001-01,2020-21,Mainland Rural,Sweet Potatoes,2048.36087
6134-001-01,2020-21,Mainland Rural,Vegetables (fresh),2480.367203
6155-001-01,2020-21,Mainland Rural,Bottled Beer,7000
6155-001-01,2020-21,Mainland Rural,Cassava Fresh,2400
6155-001-01,2020-21,Mainland Rural,Cooking Oil,1250
6155-001-01,2020-21,Mainland Rural,Eggs,1500
6155-001-01,2020-21,Mainland Rural,Fish (fresh),516.6666667
6155-001-01,2020-21,Mainland Rural,Leafy Greens,1858.477971
6155-001-01,2020-21,Mainland Rural,Maize (flour),6000
6155-001-01,2020-21,Mainland Rural,Plantains,17712.17712
6155-001-01,2020-21,Mainland Rural,Pulses,3500
6155-001-01,2020-21,Mainland Rural,Salt,300
6155-001-01,2020-21,Mainland Rural,Sugar,700
6155-001-01,2020-21,Mainland Rural,Tea (dry),500
6155-001-01,2020-21,Mainland Rural,Vegetables (fresh),3222.552733
6155-001-01,2020-21,Mainland Rural,Yams/Cocoyams,3589.74359
6212-001-02,2020-21,Mainland Rural,Local Brews,1500
6212-001-02,2020-21,Mainland Rural,Maize (flour),2000
6212-001-02,2020-21,Mainland Rural,Plantains,4250.369004
6212-001-02,2020-21,Mainland Rural,Pulses,7000
6212-001-02,2020-21,Mainland Rural,Salt,200
6229-001-01,2020-21,Mainland Other Urban,Cooking Oil,1750
6229-001-01,2020-21,Mainland Other Urban,Fish (dried),2376.470588
6229-001-01,2020-21,Mainland Other Urban,Maize (flour),6000
6229-001-01,2020-21,Mainland Other Urban,Plantains,11250
6229-001-01,2020-21,Mainland Other Urban,Pulses,6000
6229-001-01,2020-21,Mainland Other Urban,Rice (husked),7500
6229-001-01,2020-21,Mainland Other Urban,Salt,200
6229-001-01,2020-21,Mainland Other Urban,Sugar,1400
6229-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),1514.705882
6247-001-01,2020-21,Mainland Rural,Cooking Oil,1500
6247-001-01,2020-21,Mainland Rural,Fish (fresh),8333.333333
6247-001-01,2020-21,Mainland Rural,Groundnuts,1000
6247-001-01,2020-21,Mainland Rural,Leafy Greens,801.0680908
6247-001-01,2020-21,Mainland Rural,Maize (flour),5000
6247-001-01,2020-21,Mainland Rural,Milk (fresh),7000
6247-001-01,2020-21,Mainland Rural,Plantains,22140.2214
6247-001-01,2020-21,Mainland Rural,Pulses,8000
6247-001-01,2020-21,Mainland Rural,Salt,125
6247-001-01,2020-21,Mainland Rural,Vegetables (fresh),601.4469453
6269-001-01,2020-21,Mainland Rural,Beef,6000
6269-001-01,2020-21,Mainland Rural,Bottled Beer,5250
6269-001-01,2020-21,Mainland Rural,Bread,1920
6269-001-01,2020-21,Mainland Rural,Cassava Dry/Flour,1050
6269-001-01,2020-21,Mainland Rural,Citrus Fruits,685.8472979
6269-001-01,2020-21,Mainland Rural,Coffee & Cocoa,500
6269-001-01,2020-21,Mainland Rural,Cooking Oil,1750
6269-001-01,2020-21,Mainland Rural,Fish (dried),3258.666667
6269-001-01,2020-21,Mainland Rural,Fish (fresh),9125
6269-001-01,2020-21,Mainland Rural,Leafy Greens,535.9145527
6269-001-01,2020-21,Mainland Rural,Maize (flour),2000
6269-001-01,2020-21,Mainland Rural,Milk (fresh),3000
6269-001-01,2020-21,Mainland Rural,Millet & Sorghum (flour),1500
6269-001-01,2020-21,Mainland Rural,Plantains,24907.74908
6269-001-01,2020-21,Mainland Rural,Pulses,4000
6269-001-01,2020-21,Mainland Rural,Rice (husked),1400
6269-001-01,2020-21,Mainland Rural,Salt,250
6269-001-01,2020-21,Mainland Rural,Soft drinks,2000
6269-001-01,2020-21,Mainland Rural,Sugar,2800
6269-001-01,2020-21,Mainland Rural,Sugarcane,875.2421053
6269-001-01,2020-21,Mainland Rural,Vegetables (fresh),2992.8
6269-001-01,2020-21,Mainland Rural,Wild Birds & Insects,2000
6284-001-02,2020-21,Zanzibar,Bread,4000
6284-001-02,2020-21,Zanzibar,Cassava Fresh,6000
6284-001-02,2020-21,Zanzibar,Chicken,15000
6284-001-02,2020-21,Zanzibar,Coconuts,8400
6284-001-02,2020-21,Zanzibar,Cooking Oil,4000
6284-001-02,2020-21,Zanzibar,Eggs,3166.666667
6284-001-02,2020-21,Zanzibar,Fish (fresh),21964.28571
6284-001-02,2020-21,Zanzibar,Irish Potatoes,1000
6284-001-02,2020-21,Zanzibar,Leafy Greens,527.7777778
6284-001-02,2020-21,Zanzibar,Milk (fresh),6000
6284-001-02,2020-21,Zanzibar,Other Fruits,8000
6284-001-02,2020-21,Zanzibar,Plantains,12000
6284-001-02,2020-21,Zanzibar,Rice (husked),6720
6284-001-02,2020-21,Zanzibar,Salt,200
6284-001-02,2020-21,Zanzibar,Tea (dry),250
6284-001-02,2020-21,Zanzibar,Vegetables (fresh),4800
6284-001-02,2020-21,Zanzibar,Wheat Flour,4500
6301-001-02,2020-21,Zanzibar,Bread,2914.285714
6301-001-02,2020-21,Zanzibar,Cooking Oil,2000
6301-001-02,2020-21,Zanzibar,Fish (fresh),8785.714286
6301-001-02,2020-21,Zanzibar,Irish Potatoes,500
6301-001-02,2020-21,Zanzibar,Leafy Greens,1477.777778
6301-001-02,2020-21,Zanzibar,Maize (flour),1050
6301-001-02,2020-21,Zanzibar,Other Fruits,4000
6301-001-02,2020-21,Zanzibar,Plantains,4000
6301-001-02,2020-21,Zanzibar,Rice (husked),11760
6301-001-02,2020-21,Zanzibar,Salt,250
6301-001-02,2020-21,Zanzibar,Sugar,1500
6301-001-02,2020-21,Zanzibar,Tea (dry),150
6301-001-02,2020-21,Zanzibar,Vegetables (fresh),672
6326-001-01,2020-21,Zanzibar,Cassava Fresh,3000
6326-001-01,2020-21,Zanzibar,Coconuts,600
6326-001-01,2020-21,Zanzibar,Fish (fresh),2196.428571
6326-001-01,2020-21,Zanzibar,Leafy Greens,527.7777778
6326-001-01,2020-21,Zanzibar,Other Cereal Products,2600
6326-001-01,2020-21,Zanzibar,Other Fruits,4000
6326-001-01,2020-21,Zanzibar,Rice (husked),6720
6326-001-01,2020-21,Zanzibar,Salt,200
6326-001-01,2020-21,Zanzibar,Sugar,500
6326-001-01,2020-21,Zanzibar,Tea (dry),100
6345-001-01,2020-21,Zanzibar,Bread,4000
6345-001-01,2020-21,Zanzibar,Cassava Fresh,18000
6345-001-01,2020-21,Zanzibar,Citrus Fruits,600
6345-001-01,2020-21,Zanzibar,Coconuts,8400
6345-001-01,2020-21,Zanzibar,Fish (fresh),2196.428571
6345-001-01,2020-21,Zanzibar,Leafy Greens,3166.666667
6345-001-01,2020-21,Zanzibar,Maize (flour),2800
6345-001-01,2020-21,Zanzibar,Rice (husked),8400
6345-001-01,2020-21,Zanzibar,Salt,200
6345-001-01,2020-21,Zanzibar,Sugar,3000
6345-001-01,2020-21,Zanzibar,Tea (dry),350
6345-001-01,2020-21,Zanzibar,Vegetables (fresh),2400
6360-001-01,2020-21,Zanzibar,Bread,451.4285714
6360-001-01,2020-21,Zanzibar,Cassava Fresh,1500
6360-001-01,2020-21,Zanzibar,Coconuts,7200
6360-001-01,2020-21,Zanzibar,Cooking Oil,4000
6360-001-01,2020-21,Zanzibar,Fish (fresh),4392.857143
6360-001-01,2020-21,Zanzibar,Irish Potatoes,500
6360-001-01,2020-21,Zanzibar,"Macaroni, Spaghetti",5000
6360-001-01,2020-21,Zanzibar,Millet & Sorghum (flour),2200
6360-001-01,2020-21,Zanzibar,Other Spices,5000
6360-001-01,2020-21,Zanzibar,Plantains,4000
6360-001-01,2020-21,Zanzibar,Pulses,2800
6360-001-01,2020-21,Zanzibar,Rice (husked),5040
6360-001-01,2020-21,Zanzibar,Salt,300
6360-001-01,2020-21,Zanzibar,Sugar,2000
6360-001-01,2020-21,Zanzibar,Vegetables (fresh),3200
6360-001-01,2020-21,Zanzibar,Wheat Flour,1500
6383-001-01,2020-21,Zanzibar,Beef,2500
6383-001-01,2020-21,Zanzibar,Cassava Fresh,6000
6383-001-01,2020-21,Zanzibar,Coconuts,3120
6383-001-01,2020-21,Zanzibar,Cooking Oil,2000
6383-001-01,2020-21,Zanzibar,Fish (fresh),8785.714286
6383-001-01,2020-21,Zanzibar,Maize (flour),4200
6383-001-01,2020-21,Zanzibar,Other Spices,6250
6383-001-01,2020-21,Zanzibar,Rice (husked),8400
6383-001-01,2020-21,Zanzibar,Salt,250
6383-001-01,2020-21,Zanzibar,Sugar,1000
6383-001-01,2020-21,Zanzibar,Tea (dry),250
6383-001-01,2020-21,Zanzibar,Vegetables (fresh),1600
6398-001-01,2020-21,Zanzibar,"Butter, Etc.",1000
6398-001-01,2020-21,Zanzibar,Citrus Fruits,840
6398-001-01,2020-21,Zanzibar,Coconuts,5880
6398-001-01,2020-21,Zanzibar,Cooking Oil,2400
6398-001-01,2020-21,Zanzibar,Fish (dried),500
6398-001-01,2020-21,Zanzibar,Fish (fresh),13178.57143
6398-001-01,2020-21,Zanzibar,Irish Potatoes,1000
6398-001-01,2020-21,Zanzibar,Leafy Greens,2850
6398-001-01,2020-21,Zanzibar,Maize (flour),1400
6398-001-01,2020-21,Zanzibar,Pulses,2800
6398-001-01,2020-21,Zanzibar,Rice (husked),13440
6398-001-01,2020-21,Zanzibar,Salt,300
6398-001-01,2020-21,Zanzibar,Sugar,1000
6398-001-01,2020-21,Zanzibar,Tea (dry),100
6398-001-01,2020-21,Zanzibar,Vegetables (fresh),672
6398-001-01,2020-21,Zanzibar,Wheat Flour,3000
6441-001-01,2020-21,Mainland Other Urban,Beef,7000
6441-001-01,2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",1666.836735
6441-001-01,2020-21,Mainland Other Urban,Cassava Fresh,9800
6441-001-01,2020-21,Mainland Other Urban,Citrus Fruits,3395.021075
6441-001-01,2020-21,Mainland Other Urban,Coconuts,2760
6441-001-01,2020-21,Mainland Other Urban,Cooking Oil,2625
6441-001-01,2020-21,Mainland Other Urban,Fish (fresh),45000
6441-001-01,2020-21,Mainland Other Urban,Groundnuts,1000
6441-001-01,2020-21,Mainland Other Urban,Leafy Greens,2728.930291
6441-001-01,2020-21,Mainland Other Urban,"Macaroni, Spaghetti",1500
6441-001-01,2020-21,Mainland Other Urban,Maize (flour),10000
6441-001-01,2020-21,Mainland Other Urban,Milk (fresh),2800
6441-001-01,2020-21,Mainland Other Urban,Pulses,2000
6441-001-01,2020-21,Mainland Other Urban,Rice (husked),21000
6441-001-01,2020-21,Mainland Other Urban,Ripe Bananas,5833.333333
6441-001-01,2020-21,Mainland Other Urban,Salt,167
6441-001-01,2020-21,Mainland Other Urban,Soft drinks,5000
6441-001-01,2020-21,Mainland Other Urban,Sugar,2800
6441-001-01,2020-21,Mainland Other Urban,Sweet Potatoes,5881.972165
6441-001-01,2020-21,Mainland Other Urban,Tea (dry),140
6441-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),1943.872549
6441-001-01,2020-21,Mainland Other Urban,Wheat Flour,6300
6456-001-01,2020-21,Mainland Rural,Cooking Oil,600
6456-001-01,2020-21,Mainland Rural,Fish (fresh),825
6456-001-01,2020-21,Mainland Rural,Leafy Greens,1401.869159
6456-001-01,2020-21,Mainland Rural,Maize (flour),28000
6456-001-01,2020-21,Mainland Rural,"Maize (green, cob)",1466.666667
6456-001-01,2020-21,Mainland Rural,Salt,200
6456-001-01,2020-21,Mainland Rural,Sweet Potatoes,2067.305248
6456-001-01,2020-21,Mainland Rural,Vegetables (fresh),507.6212219
6472-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",50
6472-001-01,2020-21,Mainland Rural,Cassava Fresh,500
6472-001-01,2020-21,Mainland Rural,Cooking Oil,2625
6472-001-01,2020-21,Mainland Rural,Fish (fresh),2116.666667
6472-001-01,2020-21,Mainland Rural,Groundnuts,1622
6472-001-01,2020-21,Mainland Rural,Leafy Greens,241.1214953
6472-001-01,2020-21,Mainland Rural,Maize (flour),10000
6472-001-01,2020-21,Mainland Rural,Pulses,2000
6472-001-01,2020-21,Mainland Rural,Rice (husked),700
6472-001-01,2020-21,Mainland Rural,Ripe Bananas,222
6472-001-01,2020-21,Mainland Rural,Salt,209
6472-001-01,2020-21,Mainland Rural,Sugar,588
6472-001-01,2020-21,Mainland Rural,Sugarcane,197.4631579
6472-001-01,2020-21,Mainland Rural,Sweet Potatoes,947.2188995
6472-001-01,2020-21,Mainland Rural,Sweets,320
6472-001-01,2020-21,Mainland Rural,Vegetables (fresh),3368.102894
6497-001-01,2020-21,Mainland Rural,"Butter, Etc.",1200
6497-001-01,2020-21,Mainland Rural,Fish (fresh),2500
6497-001-01,2020-21,Mainland Rural,Leafy Greens,480.6408545
6497-001-01,2020-21,Mainland Rural,Maize (flour),18000
6497-001-01,2020-21,Mainland Rural,Plantains,1383.763838
6497-001-01,2020-21,Mainland Rural,Pulses,2000
6497-001-01,2020-21,Mainland Rural,Rice (husked),2800
6497-001-01,2020-21,Mainland Rural,Salt,250
6497-001-01,2020-21,Mainland Rural,Vegetables (fresh),2526.07717
6514-001-02,2020-21,Mainland Rural,"Butter, Etc.",1200
6514-001-02,2020-21,Mainland Rural,Fish (fresh),1666.666667
6514-001-02,2020-21,Mainland Rural,Leafy Greens,1922.563418
6514-001-02,2020-21,Mainland Rural,Maize (flour),15750
6514-001-02,2020-21,Mainland Rural,Pulses,7000
6514-001-02,2020-21,Mainland Rural,Salt,300
6514-001-02,2020-21,Mainland Rural,Vegetables (fresh),721.7363344
6534-001-01,2020-21,Mainland Rural,Cooking Oil,5000
6534-001-01,2020-21,Mainland Rural,Fish (fresh),575
6534-001-01,2020-21,Mainland Rural,Leafy Greens,1666.221629
6534-001-01,2020-21,Mainland Rural,Maize (flour),20000
6534-001-01,2020-21,Mainland Rural,Pulses,10000
6534-001-01,2020-21,Mainland Rural,Rice (husked),4200
6534-001-01,2020-21,Mainland Rural,Salt,400
6534-001-01,2020-21,Mainland Rural,Vegetables (fresh),1545.71865
6554-001-01,2020-21,Mainland Other Urban,Cooking Oil,2270
6554-001-01,2020-21,Mainland Other Urban,Leafy Greens,266.6909148
6554-001-01,2020-21,Mainland Other Urban,Maize (flour),5000
6554-001-01,2020-21,Mainland Other Urban,Pulses,2000
6554-001-01,2020-21,Mainland Other Urban,Salt,209
6554-001-01,2020-21,Mainland Other Urban,Sugar,1400
6554-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),569.2769608
6568-001-01,2020-21,Mainland Rural,Cooking Oil,1000
6568-001-01,2020-21,Mainland Rural,Fish (fresh),3333.333333
6568-001-01,2020-21,Mainland Rural,Leafy Greens,6568.758344
6568-001-01,2020-21,Mainland Rural,Maize (flour),30000
6568-001-01,2020-21,Mainland Rural,Pulses,2000
6568-001-01,2020-21,Mainland Rural,Rice (husked),28000
6568-001-01,2020-21,Mainland Rural,Salt,1000
6568-001-01,2020-21,Mainland Rural,Sweet Potatoes,11840.23624
6568-001-01,2020-21,Mainland Rural,Vegetables (fresh),1082.604502
6586-001-01,2020-21,Mainland Rural,Leafy Greens,1321.76235
6586-001-01,2020-21,Mainland Rural,Maize (flour),14000
6586-001-01,2020-21,Mainland Rural,Pulses,6000
6586-001-01,2020-21,Mainland Rural,Sweet Potatoes,9945.798445
6609-001-01,2020-21,Mainland Rural,"Butter, Etc.",1680
6609-001-01,2020-21,Mainland Rural,Cassava Fresh,250.5
6609-001-01,2020-21,Mainland Rural,Citrus Fruits,388.7022914
6609-001-01,2020-21,Mainland Rural,Leafy Greens,257.1428571
6609-001-01,2020-21,Mainland Rural,Maize (flour),5000
6609-001-01,2020-21,Mainland Rural,Pulses,6000
6609-001-01,2020-21,Mainland Rural,Rice (husked),4200
6609-001-01,2020-21,Mainland Rural,Ripe Bananas,681
6609-001-01,2020-21,Mainland Rural,Salt,255
6609-001-01,2020-21,Mainland Rural,Vegetables (fresh),1023.662701
6609-001-01,2020-21,Mainland Rural,Vegetables (preserved),431.6666667
6625-001-01,2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",454.5918367
6625-001-01,2020-21,Mainland Other Urban,Cassava Dry/Flour,1800
6625-001-01,2020-21,Mainland Other Urban,Cassava Fresh,2011.45
6625-001-01,2020-21,Mainland Other Urban,Citrus Fruits,504.4031311
6625-001-01,2020-21,Mainland Other Urban,Cooking Oil,1250
6625-001-01,2020-21,Mainland Other Urban,Leafy Greens,925.887063
6625-001-01,2020-21,Mainland Other Urban,Maize (flour),5000
6625-001-01,2020-21,Mainland Other Urban,"Maize (green, cob)",1806.666667
6625-001-01,2020-21,Mainland Other Urban,Other Fruits,1134.28446
6625-001-01,2020-21,Mainland Other Urban,Plantains,1821.666667
6625-001-01,2020-21,Mainland Other Urban,Pulses,4000
6625-001-01,2020-21,Mainland Other Urban,Salt,250
6625-001-01,2020-21,Mainland Other Urban,Sugarcane,3232
6625-001-01,2020-21,Mainland Other Urban,Sweet Potatoes,1206.53954
6625-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),1055.245098
6648-001-03,2020-21,Mainland Rural,Citrus Fruits,1664.677907
6648-001-03,2020-21,Mainland Rural,Cooking Oil,1250
6648-001-03,2020-21,Mainland Rural,Fish (fresh),416.6666667
6648-001-03,2020-21,Mainland Rural,Leafy Greens,160.2136182
6648-001-03,2020-21,Mainland Rural,Maize (grain),2450
6648-001-03,2020-21,Mainland Rural,Other Fruits,5645.16129
6648-001-03,2020-21,Mainland Rural,Plantains,3321.03321
6648-001-03,2020-21,Mainland Rural,Pulses,2000
6648-001-03,2020-21,Mainland Rural,Ripe Bananas,14000
6648-001-03,2020-21,Mainland Rural,Salt,100
6648-001-03,2020-21,Mainland Rural,Sugar,1400
6648-001-03,2020-21,Mainland Rural,Sweet Potatoes,947.2188995
6648-001-03,2020-21,Mainland Rural,Tea (dry),200
6648-001-03,2020-21,Mainland Rural,Vegetables (fresh),1804.340836
6648-001-03,2020-21,Mainland Rural,Yams/Cocoyams,1025.641026
6682-001-01,2020-21,Mainland Rural,Beef,3000
6682-001-01,2020-21,Mainland Rural,Bread,1000
6682-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",1250
6682-001-01,2020-21,Mainland Rural,Chicken,6500
6682-001-01,2020-21,Mainland Rural,Citrus Fruits,332.9355815
6682-001-01,2020-21,Mainland Rural,Cooking Oil,1250
6682-001-01,2020-21,Mainland Rural,Dairy Products,1000
6682-001-01,2020-21,Mainland Rural,Eggs,1200
6682-001-01,2020-21,Mainland Rural,Fish (fresh),2333.333333
6682-001-01,2020-21,Mainland Rural,Irish Potatoes,1500
6682-001-01,2020-21,Mainland Rural,Leafy Greens,1001.335113
6682-001-01,2020-21,Mainland Rural,Maize (flour),1000
6682-001-01,2020-21,Mainland Rural,Maize (grain),175
6682-001-01,2020-21,Mainland Rural,Other Fruits,322.5806452
6682-001-01,2020-21,Mainland Rural,Plantains,1107.01107
6682-001-01,2020-21,Mainland Rural,Pulses,2000
6682-001-01,2020-21,Mainland Rural,Rice (husked),700
6682-001-01,2020-21,Mainland Rural,Ripe Bananas,480
6682-001-01,2020-21,Mainland Rural,Salt,100
6682-001-01,2020-21,Mainland Rural,Sugar,700
6682-001-01,2020-21,Mainland Rural,Tea (dry),60
6682-001-01,2020-21,Mainland Rural,Vegetables (fresh),1202.893891
6705-001-01,2020-21,Mainland Rural,Leafy Greens,7000
6705-001-01,2020-21,Mainland Rural,Maize (flour),14000
6705-001-01,2020-21,Mainland Rural,Plantains,12730.62731
6705-001-01,2020-21,Mainland Rural,Salt,250
6705-001-01,2020-21,Mainland Rural,Vegetables (fresh),962.3151125
6720-001-01,2020-21,Mainland Rural,Cooking Oil,1250
6720-001-01,2020-21,Mainland Rural,Fish (dried),2022.222222
6720-001-01,2020-21,Mainland Rural,Leafy Greens,200.2670227
6720-001-01,2020-21,Mainland Rural,Maize (flour),5000
6720-001-01,2020-21,Mainland Rural,Milk (fresh),5000
6720-001-01,2020-21,Mainland Rural,Plantains,11070.1107
6720-001-01,2020-21,Mainland Rural,Salt,250
6720-001-01,2020-21,Mainland Rural,Sugar,1400
6720-001-01,2020-21,Mainland Rural,Vegetables (fresh),2405.787781
6741-001-01,2020-21,Mainland Rural,Beef,3000
6741-001-01,2020-21,Mainland Rural,Cassava Fresh,2000
6741-001-01,2020-21,Mainland Rural,Cooking Oil,2500
6741-001-01,2020-21,Mainland Rural,Dairy Products,1000
6741-001-01,2020-21,Mainland Rural,Fish (dried),2888.888889
6741-001-01,2020-21,Mainland Rural,Leafy Greens,1602.136182
6741-001-01,2020-21,Mainland Rural,Maize (flour),2000
6741-001-01,2020-21,Mainland Rural,Maize (grain),2800
6741-001-01,2020-21,Mainland Rural,Milk (fresh),7000
